sampleid,SAMP1_S1,SAMP1_S2,SAMP1_S3,SAMP1_S4,SAMP2_S1,SAMP2_S2,SAMP2_S3,SAMP2_S4,SAMP3_S1,SAMP3_S2,SAMP3_S3,SAMP3_S4,SAMP4_S1,SAMP4_S2,SAMP4_S3,SAMP4_S4,SAMP5_S1,SAMP5_S2,SAMP5_S3,SAMP5_S4,SAMP6_S1,SAMP6_S2,SAMP6_S3,SAMP6_S4,SAMP7_S1,SAMP7_S2,SAMP7_S3,SAMP7_S4,SAMP8_S1,SAMP8_S2,SAMP8_S3,SAMP8_S4
SAMP1_S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP1_S2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP1_S3,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP1_S4,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP2_S1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP2_S2,-0.47,-1,-1,-1,-0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP2_S3,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP2_S4,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP3_S1,1,-1,-1,0.87,1,-1,0.41,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP3_S2,1,-1,-1,-1,1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP3_S3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP3_S4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP4_S1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP4_S2,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP4_S3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP4_S4,-1,-1,-1,-1,-1,-1,-1,-1,0.8,-0.98,-1,-1,-1,-0.99,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP5_S1,-1,-1,-1,-1,-1,-0.55,-1,-1,0.93,-0.13,-1,-0.54,-1,0.97,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP5_S2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP5_S3,-0.12,-1,-1,-1,0.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.98,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP5_S4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP6_S1,-0.61,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP6_S2,-1,-1,-1,-1,-1,-0.16,-1,-1,1,-0.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP6_S3,-1,-1,-1,-1,-1,-0.84,-1,-1,1,-0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP6_S4,-0.94,-1,-1,-1,-0.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAMP7_S1,-1,-1,-1,-1,-1,-1,-0.5,-1,-1,-1,-1,-1,-1,-0.97,-1,-1,-1,-1,-1,-1,-0.63,0.99,0.88,-1,NA,NA,NA,NA,NA,NA,NA,NA
SAMP7_S2,0.65,-1,-1,-1,-0.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.47,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA
SAMP7_S3,-1,-1,-1,-1,-1,-1,-1,-1,-0.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA
SAMP7_S4,-1,-1,-1,-1,-1,-1,-1,-1,0.95,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-0.58,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA
SAMP8_S1,0.98,-1,-1,-0.88,0.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.37,-1,-1,-1,-1,0.15,0.11,-1,-1,-1,-1,-1,NA,NA,NA,NA
SAMP8_S2,1,-1,-1,-0.91,1,-1,-0.95,-1,-1,-1,-1,-1,-1,-1,-1,0.89,0.72,-1,-1,-1,-1,1,0.99,-1,-1,-1,-1,0.99,-1,NA,NA,NA
SAMP8_S3,-1,-1,-1,-1,-1,-1,-1,-1,0.6,-0.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.83,NA,NA
SAMP8_S4,-1,-1,-1,-1,-0.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA
