sampleid,sampleid_icr,site,sampling,month,stage
SAMP1_S1,S_73_Pos,site1,samp1,may,Pre_monsoon
SAMP1_S2,S_74_Pos,site2,samp1,may,Pre_monsoon
SAMP1_S3,S_75_Pos,site3,samp1,may,Pre_monsoon
SAMP1_S4,S_76_Pos,site4,samp1,may,Pre_monsoon
SAMP2_S1,S_77_Pos,site1,samp2,june,Pre_monsoon
SAMP2_S2,S_78_Pos,site2,samp2,june,Pre_monsoon
SAMP2_S3,S_79_Pos,site3,samp2,june,Pre_monsoon
SAMP2_S4,S_80_Pos,site4,samp2,june,Pre_monsoon
SAMP3_S1,S_81_Pos,site1,samp3,july_1,During_monsoon
SAMP3_S2,S_82_Pos,site2,samp3,july_1,During_monsoon
SAMP3_S3,S_83_Pos,site3,samp3,july_1,During_monsoon
SAMP3_S4,S_84_Pos,site4,samp3,july_1,During_monsoon
SAMP4_S1,S_85_Pos,site1,samp4,july_2,During_monsoon
SAMP4_S2,S_86_Pos,site2,samp4,july_2,During_monsoon
SAMP4_S3,S_87_Pos,site3,samp4,july_2,During_monsoon
SAMP4_S4,S_88_Pos,site4,samp4,july_2,During_monsoon
SAMP5_S1,S_89_Pos,site1,samp5,july_3,During_monsoon
SAMP5_S2,S_90_Pos,site2,samp5,july_3,During_monsoon
SAMP5_S3,S_91_Pos,site3,samp5,july_3,During_monsoon
SAMP5_S4,S_92_Pos,site4,samp5,july_3,During_monsoon
SAMP6_S1,S_93_Pos,site1,samp6,august,During_monsoon
SAMP6_S2,S_94_Pos,site2,samp6,august,During_monsoon
SAMP6_S3,S_95_Pos,site3,samp6,august,During_monsoon
SAMP6_S4,S_96_Pos,site4,samp6,august,During_monsoon
SAMP7_S1,S_97_Pos,site1,samp7,september,Post_monsoon
SAMP7_S2,S_98_Pos,site2,samp7,september,Post_monsoon
SAMP7_S3,S_99_Pos,site3,samp7,september,Post_monsoon
SAMP7_S4,S_100_Pos,site4,samp7,september,Post_monsoon
SAMP8_S1,S_101_Pos,site1,samp8,october,Post_monsoon
SAMP8_S2,S_102_Pos,site2,samp8,october,Post_monsoon
SAMP8_S3,S_103_Pos,site3,samp8,october,Post_monsoon
SAMP8_S4,S_104_Pos,site4,samp8,october,Post_monsoon
SAMP1-S1-22,NA,site1,samp9,may_22,Pre_monsoon
SAMP1-S2-22,NA,site2,samp9,may_22,Pre_monsoon
SAMP1-S3-22,NA,site3,samp9,may_22,Pre_monsoon
SAMP1-S4-22,NA,site4,samp9,may_22,Pre_monsoon
