SampleID,treatment_code,site,sampling,month,stage,Metagenomics,Metatranscriptomics,FTICR-MS,16S
S73,SAMP1_S1,site1,samp1,May,Pre_monsoon,1,1,1,1
S74,SAMP1_S2,site2,samp1,May,Pre_monsoon,1,1,1,1
S75,SAMP1_S3,site3,samp1,May,Pre_monsoon,1,1,1,1
S76,SAMP1_S4,site4,samp1,May,Pre_monsoon,1,1,1,1
S77,SAMP2_S1,site1,samp2,June,Pre_monsoon,0,0,1,1
S78,SAMP2_S2,site2,samp2,June,Pre_monsoon,0,0,1,1
S79,SAMP2_S3,site3,samp2,June,Pre_monsoon,0,0,1,1
S80,SAMP2_S4,site4,samp2,June,Pre_monsoon,0,0,1,1
S81,SAMP3_S1,site1,samp3,July_1,During_monsoon,1,1,1,1
S82,SAMP3_S2,site2,samp3,July_1,During_monsoon,1,1,1,1
S83,SAMP3_S3,site3,samp3,July_1,During_monsoon,1,1,1,1
S84,SAMP3_S4,site4,samp3,July_1,During_monsoon,1,1,1,1
S85,SAMP4_S1,site1,samp4,July_2,During_monsoon,1,1,1,1
S86,SAMP4_S2,site2,samp4,July_2,During_monsoon,1,1,1,1
S87,SAMP4_S3,site3,samp4,July_2,During_monsoon,1,1,1,1
S88,SAMP4_S4,site4,samp4,July_2,During_monsoon,1,1,1,1
S89,SAMP5_S1,site1,samp5,July_3,During_monsoon,1,1,1,1
S90,SAMP5_S2,site2,samp5,July_3,During_monsoon,1,1,1,1
S91,SAMP5_S3,site3,samp5,July_3,During_monsoon,1,1,1,1
S92,SAMP5_S4,site4,samp5,July_3,During_monsoon,1,1,1,1
S93,SAMP6_S1,site1,samp6,August,During_monsoon,1,1,1,1
S94,SAMP6_S2,site2,samp6,August,During_monsoon,1,1,1,1
S95,SAMP6_S3,site3,samp6,August,During_monsoon,1,1,1,1
S96,SAMP6_S4,site4,samp6,August,During_monsoon,1,1,1,1
S97,SAMP7_S1,site1,samp7,September,Post_monsoon,0,0,1,1
S98,SAMP7_S2,site2,samp7,September,Post_monsoon,0,0,1,1
S99,SAMP7_S3,site3,samp7,September,Post_monsoon,0,0,1,1
S100,SAMP7_S4,site4,samp7,September,Post_monsoon,0,0,1,1
S101,SAMP8_S1,site1,samp8,October,Post_monsoon,1,1,1,1
S102,SAMP8_S2,site2,samp8,October,Post_monsoon,1,1,1,1
S103,SAMP8_S3,site3,samp8,October,Post_monsoon,1,1,1,1
S104,SAMP8_S4,site4,samp8,October,Post_monsoon,1,1,1,1
S_105,SAMP9_S1,site1,samp9,May_22,Pre_monsoon,1,1,0,0
S_106,SAMP9_S2,site2,samp9,May_22,Pre_monsoon,1,1,0,0
S_107,SAMP9_S3,site3,samp9,May_22,Pre_monsoon,1,1,0,0
S_108,SAMP9_S4,site4,samp9,May_22,Pre_monsoon,1,1,0,0
