Genome,ID
DNA-1-22_bin_14,bin277
DNA-1-22_bin_2,bin276
DNA-1-22_bin_3,bin275
DNA-1-22_bin_6_1,bin274
DNA-1_bin_10_1,bin273
DNA-1_bin_13_1,bin272
DNA-1_bin_18,bin271
DNA-1_bin_22_1,bin270
DNA-1_bin_24_1,bin269
DNA-1_bin_29_1,bin268
DNA-1_bin_3,bin267
DNA-1_bin_30,bin266
DNA-1_bin_31,bin265
DNA-1_bin_36_1,bin264
DNA-1_bin_39_1,bin263
DNA-1_bin_41,bin262
DNA-1_bin_43,bin261
DNA-1_bin_45_1,bin260
DNA-1_bin_46,bin259
DNA-1_bin_47_1,bin258
DNA-1_bin_49_1,bin257
DNA-1_bin_50,bin256
DNA-1_bin_51_1,bin255
DNA-1_bin_52_1,bin254
DNA-1_bin_53_1,bin253
DNA-1_bin_54,bin252
DNA-1_bin_55_1,bin251
DNA-1_bin_59_1,bin250
DNA-1_bin_7,bin249
DNA-1_bin_8,bin248
DNA-4_bin_11,bin247
DNA-4_bin_12_1,bin246
DNA-4_bin_14_1,bin245
DNA-4_bin_15_1,bin244
DNA-4_bin_17,bin243
DNA-4_bin_18,bin242
DNA-4_bin_1_1,bin241
DNA-4_bin_27_1,bin240
DNA-4_bin_7_1,bin239
DNA-6_bin_10_1,bin238
DNA-6_bin_14_1,bin237
DNA-6_bin_18_1,bin236
DNA-6_bin_19_1,bin235
DNA-6_bin_31_1,bin234
DNA-6_bin_33_1,bin233
DNA-6_bin_37_1,bin232
DNA-6_bin_38_1,bin231
DNA-6_bin_42_1,bin230
DNA-6_bin_44_1,bin229
DNA-6_bin_48_1,bin228
DNA-6_bin_5_1,bin227
DNA-8_bin_11_1,bin226
DNA-8_bin_14,bin225
DNA-8_bin_19,bin224
DNA-8_bin_23_1,bin223
DNA-8_bin_28,bin222
DNA-8_bin_29,bin221
DNA-8_bin_30_1,bin220
DNA-8_bin_35_1,bin219
DNA-8_bin_39_1,bin218
DNA-8_bin_7_1,bin217
bcn_bin_10,bin216
bcn_bin_100_1,bin215
bcn_bin_103_1,bin214
bcn_bin_105_1,bin213
bcn_bin_106_1,bin212
bcn_bin_110_1,bin211
bcn_bin_114,bin210
bcn_bin_115,bin209
bcn_bin_116,bin208
bcn_bin_123,bin207
bcn_bin_124,bin206
bcn_bin_125_1,bin205
bcn_bin_126,bin204
bcn_bin_130_1,bin203
bcn_bin_131_1,bin202
bcn_bin_133,bin201
bcn_bin_135_1,bin200
bcn_bin_137_1,bin199
bcn_bin_138,bin198
bcn_bin_139_1,bin197
bcn_bin_13_1,bin196
bcn_bin_140,bin195
bcn_bin_142_1,bin194
bcn_bin_145_1,bin193
bcn_bin_14_1,bin192
bcn_bin_151,bin191
bcn_bin_154_1,bin190
bcn_bin_156_1,bin189
bcn_bin_158,bin188
bcn_bin_159,bin187
bcn_bin_160,bin186
bcn_bin_163,bin185
bcn_bin_164,bin184
bcn_bin_165_1,bin183
bcn_bin_167_1,bin182
bcn_bin_169,bin181
bcn_bin_16_1,bin180
bcn_bin_170,bin179
bcn_bin_174_1,bin178
bcn_bin_175,bin177
bcn_bin_176,bin176
bcn_bin_177,bin175
bcn_bin_182_1,bin174
bcn_bin_19,bin173
bcn_bin_192,bin172
bcn_bin_193_1,bin171
bcn_bin_194_1,bin170
bcn_bin_205,bin169
bcn_bin_206,bin168
bcn_bin_209_1,bin167
bcn_bin_212,bin166
bcn_bin_213,bin165
bcn_bin_216,bin164
bcn_bin_217,bin163
bcn_bin_21_1,bin162
bcn_bin_222_1,bin161
bcn_bin_224,bin160
bcn_bin_225,bin159
bcn_bin_226_1,bin158
bcn_bin_229_1,bin157
bcn_bin_230,bin156
bcn_bin_234,bin155
bcn_bin_235,bin154
bcn_bin_238_1,bin153
bcn_bin_244_1,bin152
bcn_bin_245,bin151
bcn_bin_247,bin150
bcn_bin_248_1,bin149
bcn_bin_249_1,bin148
bcn_bin_251,bin147
bcn_bin_253,bin146
bcn_bin_256_1,bin145
bcn_bin_257_1,bin144
bcn_bin_260_1,bin143
bcn_bin_262,bin142
bcn_bin_263_1,bin141
bcn_bin_267,bin140
bcn_bin_270_1,bin139
bcn_bin_271,bin138
bcn_bin_273,bin137
bcn_bin_274_1,bin136
bcn_bin_277_1,bin135
bcn_bin_278_1,bin134
bcn_bin_280,bin133
bcn_bin_289_1,bin132
bcn_bin_28_1,bin131
bcn_bin_29_1,bin130
bcn_bin_2_1,bin129
bcn_bin_3,bin128
bcn_bin_30,bin127
bcn_bin_34,bin126
bcn_bin_35,bin125
bcn_bin_38_1,bin124
bcn_bin_42,bin123
bcn_bin_43,bin122
bcn_bin_48,bin121
bcn_bin_51,bin120
bcn_bin_56_1,bin119
bcn_bin_59,bin118
bcn_bin_63_1,bin117
bcn_bin_68,bin116
bcn_bin_70,bin115
bcn_bin_71,bin114
bcn_bin_72,bin113
bcn_bin_80_1,bin112
bcn_bin_81,bin111
bcn_bin_82_1,bin110
bcn_bin_84_1,bin109
bcn_bin_85,bin108
bcn_bin_87,bin107
bcn_bin_97,bin106
bcn_bin_99_1,bin105
bcn_bin_9_1,bin104
bco_bin_1,bin103
bco_bin_101,bin102
bco_bin_102_1,bin101
bco_bin_104_1,bin100
bco_bin_106_1,bin99
bco_bin_107,bin98
bco_bin_108_1,bin97
bco_bin_109,bin96
bco_bin_11,bin95
bco_bin_111,bin94
bco_bin_112,bin93
bco_bin_113,bin92
bco_bin_115,bin91
bco_bin_116,bin90
bco_bin_117,bin89
bco_bin_118,bin88
bco_bin_123,bin87
bco_bin_125_1,bin86
bco_bin_128,bin85
bco_bin_129,bin84
bco_bin_130,bin83
bco_bin_134_1,bin82
bco_bin_135,bin81
bco_bin_136,bin80
bco_bin_137,bin79
bco_bin_139,bin78
bco_bin_14,bin77
bco_bin_143,bin76
bco_bin_145,bin75
bco_bin_146_1,bin74
bco_bin_147,bin73
bco_bin_148_1,bin72
bco_bin_149,bin71
bco_bin_150,bin70
bco_bin_153,bin69
bco_bin_155,bin68
bco_bin_158_1,bin67
bco_bin_16,bin66
bco_bin_160,bin65
bco_bin_161,bin64
bco_bin_167_1,bin63
bco_bin_168,bin62
bco_bin_170,bin61
bco_bin_172,bin60
bco_bin_176,bin59
bco_bin_177_1,bin58
bco_bin_183_1,bin57
bco_bin_186,bin56
bco_bin_187,bin55
bco_bin_189,bin54
bco_bin_18_1,bin53
bco_bin_19,bin52
bco_bin_190_1,bin51
bco_bin_193,bin50
bco_bin_196_1,bin49
bco_bin_197,bin48
bco_bin_199,bin47
bco_bin_20,bin46
bco_bin_200,bin45
bco_bin_201_1,bin44
bco_bin_205,bin43
bco_bin_208,bin42
bco_bin_215,bin41
bco_bin_21_1,bin40
bco_bin_23_1,bin39
bco_bin_24,bin38
bco_bin_25_1,bin37
bco_bin_26,bin36
bco_bin_27,bin35
bco_bin_28_1,bin34
bco_bin_29_1,bin33
bco_bin_3,bin32
bco_bin_30,bin31
bco_bin_32,bin30
bco_bin_35,bin29
bco_bin_4,bin28
bco_bin_40_1,bin27
bco_bin_46,bin26
bco_bin_49,bin25
bco_bin_51_1,bin24
bco_bin_52,bin23
bco_bin_54,bin22
bco_bin_55_1,bin21
bco_bin_57,bin20
bco_bin_58,bin19
bco_bin_59_1,bin18
bco_bin_5_1,bin17
bco_bin_66,bin16
bco_bin_67,bin15
bco_bin_68_1,bin14
bco_bin_69_1,bin13
bco_bin_74,bin12
bco_bin_76_1,bin11
bco_bin_78_1,bin10
bco_bin_79,bin9
bco_bin_80,bin8
bco_bin_82,bin7
bco_bin_84,bin6
bco_bin_87_2,bin5
bco_bin_89_1,bin4
bco_bin_91,bin3
bco_bin_93_1,bin2
bco_bin_96,bin1
